Competition,Wk,Time,Home,Home_URL,xG,Score,Away,Away_URL,Attendance,Venue,Referee,Match Report,Match Report_URL,Notes
nlEredivisie,3,20:00(21:00),AZ Alkmaar,https://fbref.com/en/squads/3986b791/AZ-Alkmaar-Stats,,,Zwolle,https://fbref.com/en/squads/e3db180b/Zwolle-Stats,,AFAS Stadion,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/e3db180b/3986b791/Zwolle-vs-AZ-Alkmaar-History,
noToppserien,20,18:00(19:00),Vålerenga,https://fbref.com/en/squads/c1c51bdf/Valerenga-Women-Stats,,,Lyn,https://fbref.com/en/squads/734efbe5/Lyn-Women-Stats,,Intility Arena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/c1c51bdf/734efbe5/Valerenga-vs-Lyn-History,
plEkstraklasa,6,18:45(19:45),Raków,https://fbref.com/en/squads/e0b3aa47/Rakow-Czestochowa-Stats,,,Lech Poznań,https://fbref.com/en/squads/fdba14df/Lech-Poznan-Stats,,zondacrypto Arena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/fdba14df/e0b3aa47/Lech-Poznan-vs-Rakow-Czestochowa-History,
plEkstraklasa,6,21:00(22:00),Legia Warsaw,https://fbref.com/en/squads/a73408a7/Legia-Warsaw-Stats,,,Jagiellonia,https://fbref.com/en/squads/4f7b798d/Jagiellonia-Stats,,Stadion Miejski Legii Warszawa im. Marsz...,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/a73408a7/4f7b798d/Legia-Warsaw-vs-Jagiellonia-History,
rsSerbian SuperLiga,1,18:00(19:00),Novi Pazar,https://fbref.com/en/squads/0e4527f3/Novi-Pazar-Stats,,,Radnički Kragujevac,https://fbref.com/en/squads/e1b6e743/Radnicki-Kragujevac-Stats,,Caizcoin Arena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/e1b6e743/0e4527f3/Radnicki-Kragujevac-vs-Novi-Pazar-History,
zaSouth African Premiership,,15:00(16:00),Lamontville Golden Arrows,https://fbref.com/en/squads/bf882670/Lamontville-Golden-Arrows-Stats,,,Mamelodi Sundowns,https://fbref.com/en/squads/97d80fef/Mamelodi-Sundowns-Stats,,King Goodwill Zwelithini Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/bf882670/97d80fef/Lamontville-Golden-Arrows-vs-Mamelodi-Sundowns-History,
zaSouth African Premiership,,17:30(18:30),Kaizer Chiefs,https://fbref.com/en/squads/2898ec06/Kaizer-Chiefs-Stats,,,Marumo Gallants FC,https://fbref.com/en/squads/7d976005/Marumo-Gallants-FC-Stats,,FNB Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/7d976005/2898ec06/Marumo-Gallants-FC-vs-Kaizer-Chiefs-History,
zaSouth African Premiership,,19:30(20:30),Stellenbosch FC,https://fbref.com/en/squads/814a41b5/Stellenbosch-FC-Stats,,,Maritzburg United,https://fbref.com/en/squads/701c353a/Maritzburg-United-Stats,,Danie Craven Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/814a41b5/701c353a/Stellenbosch-FC-vs-Maritzburg-United-History,
zaSouth African Premiership,,19:30(20:30),Richards Bay FC,https://fbref.com/en/squads/67ba9c4d/Richards-Bay-FC-Stats,,,Magesi FC,https://fbref.com/en/squads/2d75cc6d/Magesi-FC-Stats,,Richards Bay Sports Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/67ba9c4d/2d75cc6d/Richards-Bay-FC-vs-Magesi-FC-History,
zaSouth African Premiership,,19:30(20:30),TS Galaxy,https://fbref.com/en/squads/417af3f7/TS-Galaxy-Stats,,,AmaZulu,https://fbref.com/en/squads/f1e61de0/AmaZulu-Stats,,Mbombela Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/f1e61de0/417af3f7/AmaZulu-vs-TS-Galaxy-History,
